clip_id,participant_id,cohort,condition,repetition,pred_elbow,pred_asymmetry,pred_shoulder,pred_trunk,pred_head,elbow_sustained_deg,asymmetry_sustained_deg,shoulder_sustained,trunk_sustained_rad,head_sustained_deg,elbow_min_deg,asymmetry_max_deg,shoulder_max,trunk_max_rad,head_max_deg,n_frames,duration_ms,fps
P01_TRK_rep2,P01,detection,TRK,2,0,0,0,1,0,166.752,,0.0817755,0.272538,,166.648,46.4503,0.0833112,0.27734,1.27774,48,1567,30.0
P01_TRK_rep3,P01,detection,TRK,3,0,0,0,1,0,163.971,,0.0712176,0.267851,,163.779,38.286,0.0783202,0.272388,1.92423,48,1566,30.0
P01_TRK_rep4,P01,detection,TRK,4,0,0,0,1,0,169.144,,0.0827353,0.233501,,167.735,55.6128,0.0883021,0.236612,4.32521,50,1634,30.0
P01_TRK_rep5,P01,detection,TRK,5,0,0,0,1,0,168.563,,0.0850388,0.258731,,168.101,50.2241,0.0867665,0.262614,2.13451,43,1400,30.0
P02_ASY_rep1,P02,detection,ASY,1,1,1,0,0,0,151.308,22.7473,0.121284,0.00707903,2.19014,148.956,34.7657,0.126558,0.00878216,2.4316,33,1267,30.0
P02_ASY_rep2,P02,detection,ASY,2,0,1,0,0,0,155.159,23.4555,0.102169,0.00970943,1.67277,151.771,30.2375,0.117329,0.0133836,2.16858,37,1267,30.0
P02_ASY_rep3,P02,detection,ASY,3,1,1,0,0,0,148.483,13.5837,0.0938196,0.00935543,1.34663,145.085,15.6854,0.112496,0.013749,1.50016,40,1300,30.0
P02_ASY_rep4,P02,detection,ASY,4,0,1,0,0,0,153.796,26.3079,0.10876,0.00957853,1.5727,150.938,36.894,0.122383,0.0115471,1.68098,41,1334,30.0
P02_ASY_rep5,P02,detection,ASY,5,0,1,0,0,0,153.49,32.5951,0.0951379,0.0130469,1.69999,148.673,38.483,0.108541,0.0145691,1.8588,40,1300,30.0
P02_COR_rep2,P02,detection,COR,2,0,0,0,0,0,163.832,5.57484,0.123444,0.0177832,0.810596,159.84,7.67242,0.138546,0.0197774,1.73523,30,1167,30.0
P02_COR_rep3,P02,detection,COR,3,0,0,0,0,0,160.969,2.99202,0.115783,0.00550661,1.13704,159.213,4.35871,0.124538,0.0112435,1.41828,32,1165,30.0
P02_COR_rep4,P02,detection,COR,4,0,0,0,0,0,162.23,5.74641,0.10856,0.0114293,0.794357,159.573,10.3738,0.119723,0.0150403,1.2243,35,1133,30.0
P02_COR_rep5,P02,detection,COR,5,0,0,0,0,0,162.966,5.24648,0.106153,0.00389505,0.811552,158.221,7.56839,0.115345,0.0125281,1.05899,33,1100,30.0
P02_COR_rep6,P02,detection,COR,6,0,0,0,0,0,156.651,2.77422,0.107028,0.0061408,0.619324,154.558,4.9379,0.117315,0.0129552,2.07606,34,1100,30.0
P02_COR_rep7,P02,detection,COR,7,0,0,0,0,0,158.998,7.1797,0.0903939,0.0123959,1.10886,156.496,9.72181,0.0969601,0.0143833,1.31047,34,1100,30.0
P02_COR_rep8,P02,detection,COR,8,0,0,0,0,0,160.189,4.20778,0.0956469,0.00639249,1.43775,158.219,5.24581,0.110092,0.0176644,1.57438,34,1100,30.0
P02_COR_rep9,P02,detection,COR,9,0,0,0,0,0,154.578,4.98345,0.0895184,0.0128276,1.76053,152.846,7.75576,0.103526,0.0137376,2.02368,34,1100,30.0
P02_COR_rep10,P02,detection,COR,10,0,0,0,0,0,154.659,2.48255,0.0892996,0.00776342,1.95815,151.486,6.86704,0.101119,0.0113822,2.14824,34,1100,30.0
P02_ELB_rep2,P02,detection,ELB,2,0,1,0,0,0,163.119,20.0851,0.0708971,0.00978591,1.18977,162.111,20.9431,0.0764829,0.013751,1.61731,33,1066,30.0
P02_ELB_rep3,P02,detection,ELB,3,0,1,0,0,0,164.317,17.2947,0.0650964,0.0100552,1.99828,163.834,18.1475,0.0708971,0.0145418,2.07351,31,1000,30.0
P02_ELB_rep4,P02,detection,ELB,4,0,1,0,0,0,165.008,20.7844,0.0706822,0.0120797,1.44129,161.995,21.3902,0.0758384,0.0168842,1.82559,32,1033,30.0
P02_ELB_rep5,P02,detection,ELB,5,0,1,0,0,0,156.117,17.0833,0.0732603,0.0140886,1.23561,152.828,18.2624,0.0816391,0.0170241,1.39072,31,1001,30.0
P02_HED_rep1,P02,detection,HED,1,0,0,0,0,1,165.163,5.92378,0.124563,0.0316378,13.5058,162.247,7.31008,0.134311,0.033897,14.0312,31,1000,30.0
P02_HED_rep2,P02,detection,HED,2,0,0,0,0,1,165.555,5.3456,0.143193,0.0274383,14.0626,161.657,10.7617,0.152075,0.030362,15.1305,37,1200,30.0
P02_HED_rep3,P02,detection,HED,3,0,0,0,0,1,163.488,5.36432,0.133444,0.0331839,13.7956,161.813,7.83322,0.147309,0.0381021,14.3286,37,1200,30.0
P02_HED_rep4,P02,detection,HED,4,0,0,0,0,1,162.102,4.70615,0.114381,0.048548,15.484,159.895,6.77343,0.121746,0.0515558,15.8362,39,1267,30.0
P02_HED_rep5,P02,detection,HED,5,0,0,0,0,1,160.774,5.24663,0.106149,0.0507774,16.3738,159.564,8.076,0.118064,0.0538129,17.1406,36,1167,30.0
P02_SHR_rep1,P02,detection,SHR,1,1,0,1,0,0,153.249,1.3255,0.175687,0.00702036,1.03136,150.766,3.35255,0.179227,0.00901689,1.38164,30,967,30.0
P02_SHR_rep2,P02,detection,SHR,2,1,0,0,0,0,149.643,1.43658,0.170155,0.00611714,2.01501,147.787,5.31664,0.175023,0.00950553,2.21207,38,1233,30.0
P02_SHR_rep3,P02,detection,SHR,3,1,0,1,0,0,149.809,3.45939,0.188299,0.00552072,1.40542,147.321,4.13087,0.195158,0.00740559,1.63769,37,1200,30.0
P02_SHR_rep4,P02,detection,SHR,4,1,0,0,0,0,149.167,3.27694,0.160419,0.00582282,1.77062,146.687,4.24238,0.167057,0.0147162,2.17228,36,1167,30.0
P02_SHR_rep5,P02,detection,SHR,5,1,0,0,0,0,149.798,2.20342,0.158428,0.00978239,1.96991,145.996,3.34871,0.162853,0.0120499,2.23571,38,1234,30.0
P02_TRK_rep1,P02,detection,TRK,1,0,0,0,1,0,161.66,7.45685,0.112606,0.0942623,0.00252859,161.184,42.6483,0.115459,0.0977813,4.01217,33,1067,30.0
P02_TRK_rep2,P02,detection,TRK,2,0,0,0,1,0,159.075,12.2699,0.11524,0.120203,1.66596,157.439,46.8162,0.118093,0.121819,9.26446,43,1400,30.0
P02_TRK_rep3,P02,detection,TRK,3,0,0,0,1,0,159.862,11.7753,0.114362,0.111203,1.07512,155.339,51.0546,0.118313,0.113356,9.34743,44,1434,30.0
P02_TRK_rep4,P02,detection,TRK,4,0,0,0,1,0,156.777,,0.118313,0.138374,,147.872,59.2423,0.124459,0.141559,8.82642,43,1400,30.0
P02_TRK_rep5,P02,detection,TRK,5,0,0,0,1,0,163.265,,0.107777,0.14565,,160.632,47.2389,0.11085,0.147158,11.6924,40,1300,30.0
P03_ASY_rep1,P03,detection,ASY,1,0,1,0,0,0,166.822,18.1375,0.101163,0.0108812,0.76142,165.915,28.5975,0.103553,0.0135065,0.814076,49,1933,30.0
P03_ASY_rep2,P03,detection,ASY,2,0,1,0,0,0,164.757,27.5896,0.092799,0.0114564,0.69624,162.897,33.1221,0.0937947,0.0145055,0.854766,54,2100,30.0
P03_ASY_rep3,P03,detection,ASY,3,0,1,0,0,0,162.416,24.7509,0.0810498,0.0106601,1.17433,160.642,29.3219,0.0832403,0.0145975,1.59182,57,1900,30.0
P03_ASY_rep4,P03,detection,ASY,4,0,1,0,0,0,164.669,20.8976,0.0764696,0.0160345,0.748138,163.662,27.7597,0.0796558,0.0183461,1.04657,58,1933,30.0
P03_ASY_rep5,P03,detection,ASY,5,0,1,0,0,0,164.326,28.3062,0.0768678,0.0151187,0.660116,162.999,32.9047,0.0794567,0.0194068,0.783728,63,2066,30.0
P03_COR_rep1,P03,detection,COR,1,0,0,0,0,0,170.399,4.99726,0.116103,0.0102034,0.764297,169.604,6.05952,0.120675,0.012889,0.941884,38,1366,30.0
P03_COR_rep2,P03,detection,COR,2,0,0,0,0,0,165.54,1.6666,0.115705,0.00776033,1.39186,164.226,3.59754,0.122265,0.00987266,1.61311,37,1234,30.0
P03_COR_rep3,P03,detection,COR,3,0,0,0,0,0,167.678,4.57154,0.103975,0.00882645,2.74384,166.951,5.46801,0.107951,0.010816,3.15246,42,1367,30.0
P03_COR_rep4,P03,detection,COR,4,0,0,0,0,0,168.947,2.43824,0.111331,0.00990263,2.16296,168.046,3.15822,0.115904,0.0118285,2.35587,41,1333,30.0
P03_COR_rep5,P03,detection,COR,5,0,0,0,0,0,168.164,3.36449,0.114711,0.011853,1.62108,167.288,3.75462,0.118289,0.0141163,1.84501,43,1400,30.0
P03_COR_rep6,P03,detection,COR,6,0,0,0,0,0,168.694,3.76142,0.118886,0.0108289,1.75743,167.783,5.03361,0.125248,0.0128672,1.93816,41,1333,30.0
P03_COR_rep7,P03,detection,COR,7,0,0,0,0,0,165.584,3.28961,0.105168,0.0116162,2.06249,163.437,4.02617,0.110337,0.0141194,2.20781,41,1333,30.0
P03_COR_rep8,P03,detection,COR,8,0,0,0,0,0,166.971,4.20895,0.119085,0.0161515,1.28926,164.425,4.78067,0.129621,0.0180963,1.55136,42,1367,30.0
P03_COR_rep9,P03,detection,COR,9,0,0,0,0,0,168.686,2.88842,0.128031,0.0129201,1.58954,167.081,4.23475,0.132405,0.0183131,2.43868,41,1334,30.0
P03_COR_rep10,P03,detection,COR,10,0,0,0,0,0,167.713,2.49036,0.131212,0.015778,1.08505,167.104,3.92792,0.136977,0.0263991,1.70836,39,1267,30.0
P03_ELB_rep1,P03,detection,ELB,1,1,0,0,0,0,149.767,1.96094,0.112765,0.0177736,0.278991,145.074,9.20484,0.123486,0.0195833,0.39406,34,1100,30.0
P03_ELB_rep2,P03,detection,ELB,2,1,0,0,0,0,150.028,5.39985,0.089537,0.0152922,0.810779,147.719,6.96091,0.10403,0.0175678,1.21361,35,1167,30.0
P03_ELB_rep3,P03,detection,ELB,3,1,0,0,0,0,150.552,3.60839,0.101846,0.0152471,0.232238,149.172,5.63233,0.11475,0.0177311,0.400171,36,1167,30.0
P03_ELB_rep4,P03,detection,ELB,4,1,0,0,0,0,142.961,7.21292,0.126464,0.0141283,0.776254,140.413,9.0326,0.136986,0.0168707,0.834339,37,1200,30.0
P03_ELB_rep5,P03,detection,ELB,5,0,0,0,0,0,154.459,2.00238,0.122294,0.0108746,1.05219,151.419,3.60773,0.13242,0.0170474,1.69029,37,1200,30.0
P03_HED_rep1,P03,detection,HED,1,0,0,0,0,1,168.249,10.5922,0.132097,0.00996142,24.1455,167.848,11.9977,0.136605,0.0120649,24.9778,27,999,30.0
P03_HED_rep2,P03,detection,HED,2,0,0,0,0,1,170.123,8.15079,0.134057,0.013733,20.8876,168.126,9.27514,0.138957,0.0163916,21.2889,33,1200,30.0
P03_HED_rep3,P03,detection,HED,3,0,0,0,0,1,167.718,8.95466,0.136213,0.0148487,23.023,165.694,10.6868,0.141897,0.0185844,23.1469,36,1267,30.0
P03_HED_rep4,P03,detection,HED,4,0,1,0,0,1,168.73,14.1312,0.130725,0.0303554,26.0389,166.225,16.357,0.135625,0.0335026,26.9274,38,1233,30.0
P03_HED_rep5,P03,detection,HED,5,0,0,0,0,1,168.386,8.02294,0.10799,0.0204707,22.8012,167.545,9.32931,0.11191,0.0212833,24.0641,36,1200,30.0
P03_SHR_rep1,P03,detection,SHR,1,0,0,1,0,0,158.997,4.04445,0.181132,0.00968023,1.7905,157.848,4.89682,0.193644,0.0149689,2.18618,26,1000,30.0
P03_SHR_rep2,P03,detection,SHR,2,0,0,1,0,0,158.18,4.78097,0.174975,0.0102105,1.92484,155.994,6.11066,0.17994,0.0130371,2.08282,38,1467,30.0
P03_SHR_rep3,P03,detection,SHR,3,0,0,1,0,0,158.27,2.01294,0.196028,0.00985433,0.857375,155.71,3.08993,0.20139,0.0151817,1.41253,35,1301,30.0
P03_SHR_rep4,P03,detection,SHR,4,0,0,1,0,0,154.172,4.70043,0.194638,0.0139426,2.06789,152.153,5.55342,0.199801,0.0213098,2.28408,44,1433,30.0
P03_SHR_rep5,P03,detection,SHR,5,0,0,1,0,0,158.322,2.11177,0.210725,0.0146092,2.14405,154.833,2.61254,0.221648,0.0185834,2.51968,40,1300,30.0
P03_TRK_rep1,P03,detection,TRK,1,0,0,0,1,0,164.492,,0.0629878,0.290127,,160.309,7.9216,0.0694069,0.294423,32.6717,38,1300,30.0
P03_TRK_rep2,P03,detection,TRK,2,0,0,0,1,0,163.735,,0.0282843,0.361047,,162.681,10.1754,0.0308921,0.368704,31.9968,61,2067,30.0
P03_TRK_rep3,P03,detection,TRK,3,0,0,0,1,0,166.372,,0.021464,0.41855,,165.525,13.7912,0.0280837,0.424416,27.5519,62,2033,30.0
P03_TRK_rep4,P03,detection,TRK,4,0,0,0,1,0,166.066,,0.0286855,0.375463,,164.671,16.0811,0.034904,0.384924,32.1942,49,1602,30.0
P03_TRK_rep5,P03,detection,TRK,5,0,0,0,1,0,164.72,,0.0345029,0.409168,,163.418,19.7308,0.041925,0.420222,29.7185,55,1799,30.0
P04_ASY_rep1,P04,detection,ASY,1,0,0,0,0,0,162.356,9.6956,0.0955003,0.0387198,1.76125,160.998,12.7492,0.0989767,0.0397116,1.98646,28,900,30.0
P04_ASY_rep2,P04,detection,ASY,2,0,1,0,0,0,162.056,46.8561,0.0840484,0.0456313,2.05233,160.887,55.5775,0.0860934,0.0521945,3.45404,46,1500,30.0
P04_ASY_rep3,P04,detection,ASY,3,0,1,0,0,0,161.244,23.0717,0.0750505,0.0347652,0.943077,159.981,32.6688,0.0770955,0.0490911,1.65361,43,1434,30.0
P04_ASY_rep4,P04,detection,ASY,4,0,1,0,0,0,162.179,26.2767,0.0865024,0.0409112,1.8564,161.363,36.7776,0.0883429,0.0535171,2.20401,43,1400,30.0
P04_ASY_rep5,P04,detection,ASY,5,0,1,0,0,0,162.329,31.3739,0.0750505,0.0502264,2.07444,161.32,42.3584,0.0762775,0.0598654,2.2739,45,1466,30.0
P04_COR_rep1,P04,detection,COR,1,0,0,0,0,0,166.902,2.53603,0.0506351,0.014412,1.9952,164.763,4.02223,0.0560448,0.0169207,2.11463,31,1000,30.0
P04_COR_rep2,P04,detection,COR,2,0,0,0,0,0,166.622,3.87426,0.077251,0.00866351,0.823799,166.042,4.49218,0.0822279,0.0125655,1.08131,40,1401,30.0
P04_COR_rep3,P04,detection,COR,3,0,0,0,0,0,166.91,2.13812,0.0841754,0.0114869,1.13379,165.654,2.66229,0.0926146,0.0186292,1.31388,37,1200,30.0
P04_COR_rep4,P04,detection,COR,4,0,0,0,0,0,167.216,2.74643,0.0718412,0.0101352,0.915608,164.382,3.49314,0.076169,0.0194601,1.09818,38,1266,30.0
P04_COR_rep5,P04,detection,COR,5,0,0,0,0,0,167.096,1.20404,0.0685954,0.00553403,1.02703,165.836,1.99872,0.0740051,0.0192085,1.38971,40,1300,30.0
P04_COR_rep6,P04,detection,COR,6,0,0,0,0,0,167.882,5.02051,0.0688118,0.0146446,1.51062,165.289,6.2689,0.0744379,0.0217469,2.1144,38,1233,30.0
P04_COR_rep7,P04,detection,COR,7,0,0,0,0,0,165.865,2.07459,0.0623201,0.0145452,0.845719,164.368,2.84777,0.0690282,0.0204968,1.00105,37,1200,30.0
P04_COR_rep8,P04,detection,COR,8,0,0,0,0,0,166.27,1.75197,0.051717,0.00487129,1.2384,165.281,2.47032,0.0577759,0.0173165,1.59607,34,1100,30.0
P04_COR_rep9,P04,detection,COR,9,0,0,0,0,0,164.862,2.5138,0.0595071,0.00846437,0.533054,163.485,3.22034,0.0666479,0.0159445,0.975595,36,1167,30.0
P04_COR_rep10,P04,detection,COR,10,0,0,0,0,0,165.326,3.5995,0.0499859,0.0101479,2.04136,164,5.05225,0.0562612,0.0190299,2.4271,35,1133,30.0
P04_ELB_rep1,P04,detection,ELB,1,0,1,0,0,0,156.685,22.8162,0.100406,0.0448987,1.15803,155.196,23.5076,0.103172,0.0466042,1.21922,23,932,30.0
P04_ELB_rep2,P04,detection,ELB,2,0,1,0,0,0,159.077,24.1342,0.0770066,0.0366153,0.555884,157.183,24.6634,0.0797721,0.0379784,0.801007,36,1435,30.0
P04_ELB_rep3,P04,detection,ELB,3,0,1,0,0,0,163.706,19.4979,0.092961,0.0444879,1.59581,162.939,20.6316,0.0978537,0.0464765,1.91892,34,1333,30.0
P04_ELB_rep4,P04,detection,ELB,4,0,1,0,0,0,157.387,27.1001,0.0931738,0.0492451,2.28289,156.704,28.0801,0.0959392,0.0510297,2.40597,39,1400,30.0
P04_ELB_rep5,P04,detection,ELB,5,0,1,0,0,0,166.117,28.63,0.084452,0.0429333,1.00747,165.531,29.7906,0.0897702,0.0458536,1.12014,40,1367,30.0
P04_HED_rep2,P04,detection,HED,2,0,1,0,0,1,163.227,16.9425,0.0434069,0.0711515,32.8457,158.697,17.3427,0.0469041,0.0752378,33.3474,44,1433,30.0
P04_HED_rep3,P04,detection,HED,3,0,1,0,0,1,162.276,13.4662,0.05287,0.0212328,24.8535,159.479,15.1187,0.0559558,0.0351196,25.2293,42,1400,30.0
P04_HED_rep4,P04,detection,HED,4,0,1,0,0,1,160.592,16.1372,0.0292122,0.0458443,27.5561,159.504,16.6901,0.030858,0.0558353,29.2322,46,1499,30.0
